16 Feb 2023 | 06:56:45,731 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#116, Id: 116, Priv: 0, Sess: 203.200.25.244:60515 ) , Type: Unity / .Net
16 Feb 2023 | 06:57:35,539 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 123, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:60515 }
16 Feb 2023 | 06:57:35,539 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#116, Id: 116, Priv: 0, Sess: 203.200.25.244:60515 ) , SessionLen: 49809, Type: Unity / .Net
16 Feb 2023 | 06:57:35,539 | INFO  | SFSWorker:Ext:2 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:57:51,792 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 124, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58916 } on Server port: 9933 <---> 58916
16 Feb 2023 | 06:57:52,043 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#117, Id: 117, Priv: 0, Sess: 203.200.25.244:58916 ) , Type: Unity / .Net
16 Feb 2023 | 06:58:05,959 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 124, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58916 }
16 Feb 2023 | 06:58:05,959 | INFO  | SFSWorker:Sys:2 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#117, Id: 117, Priv: 0, Sess: 203.200.25.244:58916 ) , SessionLen: 13916, Type: Unity / .Net
16 Feb 2023 | 06:58:05,959 | INFO  | SFSWorker:Ext:1 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:58:29,759 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 125, Type: DEFAULT, Logged: No, IP: 203.200.25.244:63233 } on Server port: 9933 <---> 63233
16 Feb 2023 | 06:58:30,204 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#118, Id: 118, Priv: 0, Sess: 203.200.25.244:63233 ) , Type: Unity / .Net
16 Feb 2023 | 06:59:50,688 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 126, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58948 } on Server port: 9933 <---> 58948
